OTU ID,Nadd,Nitrogen,Nlevel,Treatment,Year,Block
Bac1,Yes,0,N0,N+N0,2017,B1
Bac2,Yes,2,N2,N+N2,2017,B1
Bac3,Yes,5,N5,N+N5,2017,B1
Bac4,Yes,10,N10,N+N10,2017,B1
Bac5,Yes,15,N15,N+N15,2017,B1
Bac6,Yes,20,N20,N+N20,2017,B1
Bac7,Yes,50,N50,N+N50,2017,B1
Bac15,No,0,N0,N-N0,2017,B1
Bac16,No,2,N2,N-N2,2017,B1
Bac17,No,5,N5,N-N5,2017,B1
Bac18,No,10,N10,N-N10,2017,B1
Bac19,No,15,N15,N-N15,2017,B1
Bac20,No,20,N20,N-N20,2017,B1
Bac21,No,50,N50,N-N50,2017,B1
Bac29,Yes,0,N0,N+N0,2017,B2
Bac30,Yes,2,N2,N+N2,2017,B2
Bac31,Yes,5,N5,N+N5,2017,B2
Bac32,Yes,10,N10,N+N10,2017,B2
Bac33,Yes,15,N15,N+N15,2017,B2
Bac34,Yes,20,N20,N+N20,2017,B2
Bac35,Yes,50,N50,N+N50,2017,B2
Bac43,No,0,N0,N-N0,2017,B2
Bac44,No,2,N2,N-N2,2017,B2
Bac45,No,5,N5,N-N5,2017,B2
Bac46,No,10,N10,N-N10,2017,B2
Bac47,No,15,N15,N-N15,2017,B2
Bac48,No,20,N20,N-N20,2017,B2
Bac49,No,50,N50,N-N50,2017,B2
Bac57,Yes,0,N0,N+N0,2017,B3
Bac58,Yes,2,N2,N+N2,2017,B3
Bac59,Yes,5,N5,N+N5,2017,B3
Bac60,Yes,10,N10,N+N10,2017,B3
Bac61,Yes,15,N15,N+N15,2017,B3
Bac62,Yes,20,N20,N+N20,2017,B3
Bac63,Yes,50,N50,N+N50,2017,B3
Bac71,No,0,N0,N-N0,2017,B3
Bac72,No,2,N2,N-N2,2017,B3
Bac73,No,5,N5,N-N5,2017,B3
Bac74,No,10,N10,N-N10,2017,B3
Bac75,No,15,N15,N-N15,2017,B3
Bac76,No,20,N20,N-N20,2017,B3
Bac77,No,50,N50,N-N50,2017,B3
Bac85,Yes,0,N0,N+N0,2017,B4
Bac86,Yes,2,N2,N+N2,2017,B4
Bac87,Yes,5,N5,N+N5,2017,B4
Bac88,Yes,10,N10,N+N10,2017,B4
Bac89,Yes,15,N15,N+N15,2017,B4
Bac90,Yes,20,N20,N+N20,2017,B4
Bac91,Yes,50,N50,N+N50,2017,B4
Bac99,No,0,N0,N-N0,2017,B4
Bac100,No,2,N2,N-N2,2017,B4
Bac101,No,5,N5,N-N5,2017,B4
Bac102,No,10,N10,N-N10,2017,B4
Bac103,No,15,N15,N-N15,2017,B4
Bac104,No,20,N20,N-N20,2017,B4
Bac105,No,50,N50,N-N50,2017,B4
Bac113,Yes,0,N0,N+N0,2017,B5
Bac114,Yes,2,N2,N+N2,2017,B5
Bac115,Yes,5,N5,N+N5,2017,B5
Bac116,Yes,10,N10,N+N10,2017,B5
Bac117,Yes,15,N15,N+N15,2017,B5
Bac118,Yes,20,N20,N+N20,2017,B5
Bac119,Yes,50,N50,N+N50,2017,B5
Bac127,No,0,N0,N-N0,2017,B5
Bac128,No,2,N2,N-N2,2017,B5
Bac129,No,5,N5,N-N5,2017,B5
Bac130,No,10,N10,N-N10,2017,B5
Bac131,No,15,N15,N-N15,2017,B5
Bac132,No,20,N20,N-N20,2017,B5
Bac133,No,50,N50,N-N50,2017,B5
Bac1902,Yes,0,N0,N+N0,2019,B1
Bac1903,Yes,2,N2,N+N2,2019,B1
Bac1904,Yes,5,N5,N+N5,2019,B1
Bac1905,Yes,10,N10,N+N10,2019,B1
Bac1906,Yes,15,N15,N+N15,2019,B1
Bac1907,Yes,20,N20,N+N20,2019,B1
Bac1908,Yes,50,N50,N+N50,2019,B1
Bac1909,No,0,N0,N-N0,2019,B1
Bac1910,No,2,N2,N-N2,2019,B1
Bac1911,No,5,N5,N-N5,2019,B1
Bac1912,No,10,N10,N-N10,2019,B1
Bac1913,No,15,N15,N-N15,2019,B1
Bac1914,No,20,N20,N-N20,2019,B1
Bac1915,No,50,N50,N-N50,2019,B1
Bac1917,Yes,0,N0,N+N0,2019,B2
Bac1918,Yes,2,N2,N+N2,2019,B2
Bac1919,Yes,5,N5,N+N5,2019,B2
Bac1920,Yes,10,N10,N+N10,2019,B2
Bac1921,Yes,15,N15,N+N15,2019,B2
Bac1922,Yes,20,N20,N+N20,2019,B2
Bac1923,Yes,50,N50,N+N50,2019,B2
Bac1924,No,0,N0,N-N0,2019,B2
Bac1925,No,2,N2,N-N2,2019,B2
Bac1926,No,5,N5,N-N5,2019,B2
Bac1927,No,10,N10,N-N10,2019,B2
Bac1928,No,15,N15,N-N15,2019,B2
Bac1929,No,20,N20,N-N20,2019,B2
Bac1930,No,50,N50,N-N50,2019,B2
Bac1932,Yes,0,N0,N+N0,2019,B3
Bac1933,Yes,2,N2,N+N2,2019,B3
Bac1934,Yes,5,N5,N+N5,2019,B3
Bac1935,Yes,10,N10,N+N10,2019,B3
Bac1936,Yes,15,N15,N+N15,2019,B3
Bac1937,Yes,20,N20,N+N20,2019,B3
Bac1938,Yes,50,N50,N+N50,2019,B3
Bac1939,No,0,N0,N-N0,2019,B3
Bac1940,No,2,N2,N-N2,2019,B3
Bac1941,No,5,N5,N-N5,2019,B3
Bac1942,No,10,N10,N-N10,2019,B3
Bac1943,No,15,N15,N-N15,2019,B3
Bac1944,No,20,N20,N-N20,2019,B3
Bac1945,No,50,N50,N-N50,2019,B3
Bac1947,Yes,0,N0,N+N0,2019,B4
Bac1948,Yes,2,N2,N+N2,2019,B4
Bac1949,Yes,5,N5,N+N5,2019,B4
Bac1950,Yes,10,N10,N+N10,2019,B4
Bac1951,Yes,15,N15,N+N15,2019,B4
Bac1952,Yes,20,N20,N+N20,2019,B4
Bac1953,Yes,50,N50,N+N50,2019,B4
Bac1954,No,0,N0,N-N0,2019,B4
Bac1955,No,2,N2,N-N2,2019,B4
Bac1956,No,5,N5,N-N5,2019,B4
Bac1957,No,10,N10,N-N10,2019,B4
Bac1958,No,15,N15,N-N15,2019,B4
Bac1959,No,20,N20,N-N20,2019,B4
Bac1960,No,50,N50,N-N50,2019,B4
Bac1962,Yes,0,N0,N+N0,2019,B5
Bac1963,Yes,2,N2,N+N2,2019,B5
Bac1964,Yes,5,N5,N+N5,2019,B5
Bac1965,Yes,10,N10,N+N10,2019,B5
Bac1966,Yes,15,N15,N+N15,2019,B5
Bac1967,Yes,20,N20,N+N20,2019,B5
Bac1968,Yes,50,N50,N+N50,2019,B5
Bac1969,No,0,N0,N-N0,2019,B5
Bac1970,No,2,N2,N-N2,2019,B5
Bac1971,No,5,N5,N-N5,2019,B5
Bac1972,No,10,N10,N-N10,2019,B5
Bac1973,No,15,N15,N-N15,2019,B5
Bac1974,No,20,N20,N-N20,2019,B5
Bac1975,No,50,N50,N-N50,2019,B5
